symbol,name,current_price,fair_value_per_share,upside_pct,predicted_ev
LRCX,Lam Research Corporation,309.935,337.7464709224826,9.0,4.213595e+11
LVS,Las Vegas Sands Corp.,50.6,55.635654076685164,10.0,4.931726e+10
LDOS,"Leidos Holdings, Inc.",125.255,124.69875551440896,-0.4,2.2172291e+10
LEN,Lennar Corporation,91.555,106.04596161429484,15.8,1.9356916e+10
LII,Lennox International Inc.,507.355,517.0478372853676,1.9,1.9897948e+10
LLY,Eli Lilly and Company,1143.515,1123.8508376990178,-1.7,1.0402723e+12
LIN,Linde plc,510.32,511.27108759862796,0.2,2.5874281e+11
LYV,"Live Nation Entertainment, Inc.",160.36,167.67861903461528,4.6,4.0526516e+10
LMT,Lockheed Martin Corporation,523.54,518.461702073989,-1.0,1.383414e+11
LOW,"Lowe's Companies, Inc.",211.12,208.16744741395178,-1.4,1.5849095e+11
LITE,Lumentum Holdings Inc.,875.185,869.6667475578406,-0.6,6.7801473e+10
LYB,LyondellBasell Industries N.V.,64.67,65.8551832245197,1.8,3.295405e+10
MPC,Marathon Petroleum Corporation,265.9,290.4348267767079,9.2,1.16963566e+11
MAR,"Marriott International, Inc.",392.05,378.979673886044,-3.3,1.1688463e+11
MRSH,"Marsh & McLennan Companies, Inc.",165.945,162.21201714379882,-2.2,9.899286e+10
MLM,"Martin Marietta Materials, Inc.",577.865,584.0588472485216,1.1,4.048534e+10
MAS,Masco Corporation,69.78,71.1993054909113,2.0,1.7277352e+10
MA,Mastercard Incorporated,492.095,485.13746336796146,-1.4,4.3622413e+11
MKC,"McCormick & Company, Incorporated",47.695,51.15987652012859,7.3,1.7739643e+10
MCD,McDonald's Corporation,280.075,272.3709073650299,-2.8,2.4724613e+11
MCK,McKesson Corporation,779.12,766.5041563699046,-1.6,9.6947905e+10
MRK,"Merck & Co., Inc.",121.98,120.38207570152309,-1.3,3.407376e+11
META,"Meta Platforms, Inc.",583.28,726.9855633689149,24.6,1.6020824e+12
MTD,Mettler-Toledo International Inc.,1155.26,1170.3104890085667,1.3,2.5817231e+10
MGM,MGM Resorts International,47.45,51.70792115973175,9.0,4.241816e+10
MCHP,Microchip Technology Incorporated,90.035,96.23141730812618,6.9,5.7566958e+10
MU,"Micron Technology, Inc.",888.56,996.1462985105874,12.1,1.1195971e+12
MSFT,Microsoft Corporation,418.7051,427.8303921164816,2.2,3.2253141e+12
MAA,"Mid-America Apartment Communities, Inc.",138.455,137.2103256574686,-0.9,2.1578019e+10
TAP,Molson Coors Beverage Company,39.221,69.26690328853881,76.6,1.815243e+10
MDLZ,"Mondelez International, Inc.",62.82,61.5448061897594,-2.0,9.9099976e+10
MPWR,"Monolithic Power Systems, Inc.",1519.76,1653.0637169957256,8.8,7.986788e+10
MNST,Monster Beverage Corporation,90.12,88.1159156440942,-2.2,8.328756e+10
MCO,Moody's Corporation,453.99,450.7173705477095,-0.7,8.4622705e+10
MOS,The Mosaic Company,22.06,45.75921361623689,107.4,2.0025113e+10
MSI,"Motorola Solutions, Inc.",412.24,409.88795877711976,-0.6,7.674259e+10
MSCI,MSCI Inc.,617.5015,621.7940613240708,0.7,5.1412685e+10
NDAQ,"Nasdaq, Inc.",87.16,88.1044157666588,1.1,5.881264e+10
NTAP,"NetApp, Inc.",168.23,221.4396367513571,31.6,4.2599772e+10
NFLX,"Netflix, Inc.",81.5103,81.75183314968614,0.3,3.4869425e+11
NEM,Newmont Corporation,101.3,125.91954442825086,24.3,1.3117876e+11
NWSA,News Corporation,27.165,42.69652640126112,57.2,1.6264565e+10
NWS,News Corporation,31.16,95.85564355193789,207.6,1.8182613e+10
NEE,"NextEra Energy, Inc.",85.96,76.4330862790198,-11.1,2.6181426e+11
NKE,"NIKE, Inc.",42.965,32.371047171974084,-24.7,4.195005e+10
NI,NiSource Inc.,46.81,51.11005085117719,9.2,4.1239065e+10
NDSN,Nordson Corporation,283.78,284.913947943668,0.4,1.774543e+10
NSC,Norfolk Southern Corporation,315.25,310.53514651978617,-1.5,8.603833e+10
